mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.28.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mplayer 38542-9
mtdev 1.1.7-1
mtools 1:4.0.49-1
nanosvg 0.1.0.git1.9da543e-4
ncurses 6.6-2
nettle 4.0-1
networkmanager 1.58.0-1
networkmanager-qt 6.28.0-1
nftables 1:1.1.6-3
nlopt 2.11.0-2
noto-fonts 1:2026.08.01-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.126-1
ntfs-3g 2026.7.7-1
ntsync-autoload 1-1
numactl 2.0.19-1
nvidia-open 610.57.04-6
nvidia-open-lts 1:610.57.04-5
nvidia-utils 610.57.04-1
obs-studio 32.2.1-6
ocean-sound-theme 6.7.4-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openai-codex 0.146.1-1
openal 1.25.2-2
opencascade 1:7.9.3-3
opencore-amr 0.1.6-2
opencsg 1.8.2-2
opencv 5.0.0-9
openexr 3.4.14-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openmpi 5.0.10-3
openpmix 5.0.11-1
openssh 10.5p1-1
openssl 3.6.3-1
openucx 1.20.1-2
openvdb 13.0.0-2
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
ostree 2026.3-1
oxygen 6.7.4-1
oxygen-cursors 6.7.4-1
oxygen-icons 1:6.28.0-1
oxygen-sounds 6.7.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
parted 3.7-1
patch 2.8-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-cgi 4.72-1
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-config-general 2.67-1
perl-config-simple 4.59-20
perl-dbi 1.651-1
perl-email-date-format 1.008-6
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-http-server-simple 0.52-6
perl-io-html 1.004-8
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-mime-lite 3.038-1
perl-mime-types 2.30-1
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.35-1
perl-www-robotrules 6.03-1
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.59-1
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-sax-expat 0.51-8
perl-xml-simple 2.25-12
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pipewire-session-manager 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
plasma-activities 6.7.4-1
plasma-activities-stats 6.7.4-1
plasma-browser-integration 6.7.4-1
plasma-desktop 6.7.4-1
plasma-disks 6.7.4-1
plasma-firewall 6.7.4-1
plasma-integration 6.7.4-1
plasma-keyboard 6.7.4-1
plasma-login-manager 6.7.4-1
plasma-meta 6.7-2
plasma-nm 6.7.4-1
plasma-pa 6.7.4-1
plasma-systemmonitor 6.7.4-1
plasma-thunderbolt 6.7.4-1
plasma-vault 6.7.4-1
plasma-welcome 6.7.4-1
plasma-workspace 6.7.4-1
plasma5support 6.7.4-1
polkit 127-3
polkit-kde-agent 6.7.4-1
polkit-qt6 0.201.1-1
poppler 26.07.0-1
poppler-qt6 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
powerdevil 6.7.4-1
ppp 2.5.3-1
print-manager 1:6.7.4-1
prison 6.28.0-1
procps-ng 4.0.6-3
protobuf 35.1-1
protobuf-c 1.5.2-12
prrte 3.0.14-1
prusa-slicer 2.9.6-2
psmisc 23.7-2
pugixml 1.16-1
pulse-native-provider 1:1.6.8-1
pulseaudio-qt 1.8.1-1
purpose 6.28.0-1
pybind11 3.1.0-1
pyside6 6.11.1-4
python 3.14.7-1
python-attrs 26.1.0-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-contourpy 1.3.3-4
python-cryptography 49.0.0-1
python-cycler 0.12.1-4
python-dateutil 2.9.0-8
python-defusedxml 0.7.1-8
python-filelock 3.29.3-1
python-fonttools 4.63.0-1
python-gobject 3.56.3-1
python-idna 3.18-1
python-kiwisolver 1.5.0-1
python-matplotlib 3.11.1-1
python-numpy 2.5.2-1
python-packaging 26.3-1
python-pefile 2024.8.26-2
python-pillow 12.3.0-1
python-pip 26.2.1-1
python-pivy 1:0.6.11-2
python-ply 3.11-17
python-psutil 7.2.2-1
python-pycparser 3.00-1
python-pygdbmi 0.11.0.0-6
python-pyparsing 3.3.2-1
python-pyqt6 6.11.0-2
python-pyqt6-3d 6.11.0-1
python-pyqt6-charts 6.11.0-1
python-pyqt6-datavisualization 6.11.0-1
python-pyqt6-graphs 6.11.0-1
python-pyqt6-networkauth 6.11.0-1
python-pyqt6-sip 13.12.0-1
python-pyqt6-webengine 6.11.0-1
python-requests 2.34.2-1
python-sentry_sdk 2.66.1-1
python-six 1.17.0-3
python-typing_extensions 4.16.0-1
